index,salary,description_tokens
0,,"['tableau', 'sql', 'aws']"
1,,
2,,"['excel', 'azure', 'sql']"
3,,
4,,"['powerpoint', 'excel']"
5,80KÐ90K a year,[]
6,,"['vba', 'alteryx', 'sas', 'gcp', 'tableau', 'sql']"
7,,"['postgresql', 'python', 'looker', 'tableau', 'snowflake']"
8,,"['pyspark', 'python', 'excel', 'sap', 'azure', 'sql']"
9,,"['python', 'tableau', 'sql', 'excel', 'power_bi']"
10,,"['postgresql', 'python', 'looker', 'tableau', 'snowflake']"
11,,"['vba', 'alteryx', 'sas', 'gcp', 'tableau', 'sql']"
12,,"['pyspark', 'python', 'excel', 'sap', 'azure', 'sql']"
13,,"['gitlab', 'snowflake', 'tableau', 'sql']"
14,,"['sas', 'spark', 'power_bi', 'python', 'matplotlib', 'r', 'scala', 'tableau', 'sql', 'excel', 'power_bi', 'nosql']"
15,,
16,,"['postgresql', 'github', 'jira', 'sql', 'bigquery', 'redshift', 'snowflake']"
17,,"['sap', 'azure', 'gcp', 'snowflake', 'aws']"
18,,[]
19,,"['sas', 'spark', 'power_bi', 'python', 'matplotlib', 'r', 'scala', 'tableau', 'sql', 'excel', 'power_bi', 'nosql']"
20,,"['power_bi', 'vba', 'excel', 'sql']"
21,20Ð40 an hour,[]
22,,"['tableau', 'sql'"
23,,"['outlook', 'excel', 'sql']"
24,,"['mysql', 'visio', 'sql']"
25,40Ð65 an hour,"['pyspark', 'numpy', 'python', 'power_bi', 'tensorflo"
26,,"['visual_basic', 'excel']"
27,,"['sas', 'spark', 'power_bi', 'python', 'matplotlib', 'r', 'scala', 'tableau', 'sql', 'excel', 'power_bi', 'nosql']"
28,,"['atlassian', 'python', 'excel', 'postgresql', 'looker', 'spreadsheet', 'jira', 'tableau', 'r', 'aws', 'sql', 'github']"
29,,[]
30,,"['excel', 'power_bi', 'sql']"
31,,
32,,[]
33,,"['excel', 'spreadsheet']"
34,,"['sap', 'sas', 'r', 'excel']"
35,,['sas']
36,,[]
37,,"['sas', 'spark', 'power_bi', 'python', 'matplotlib', 'r', 'scala', 'tableau', 'sql', 'excel', 'power_bi', 'nosql']"
38,,"['excel', 'power_bi', 'looker"
39,,[]
40,,"['azure', 'pandas', 't-sql', 'ssrs', 'python', 'ssis', 'scikit-learn', 'r', 'dax', 'sql', 'numpy', 'excel"
41,,
42,,[]
43,,"['cognos', 'python', 'looker', 'qlik', 'tableau', 'sql', 'snowflake', 'aws']"
44,,"['sas', 'power_bi', 'python', 'sql']"
45,,"['python', 'looker', 'airflow', 'sql', 'snowflake', 'aws']"
46,,[]
47,,"['vba', 'html', 'python', 'r', 'c', 'css', 'po"
48,,"['alteryx', 'sap', 'python', 'r', 'sql']"
49,,
50,,
51,,"['spreadsheet', 'java', 'sql']"
52,75Ð125 an hour,[]
53,,"['spreadsheet', 'sql', 'excel']"
54,,"['t-sql', 'python', 'sql', 'sharepoint']"
55,,
56,,"['vba', 'html', 'python', 'r', 'c', 'css', 'po"
57,,"['python', 'r', 'sas', 'sql']"
58,,"['sap', 'word', 'powerpoint', 'jira', 'tableau', 'sql', 'excel']"
59,,[]
60,,
61,,"['python', 'r', 'sql']"
62,,[]
63,,
64,,['excel']
65,75Ð100 an hour,
66,,
67,,"['azure', 'pl/sql']"
68,,[]
69,,"['outlook', 'spreadsheet', 'word', 'excel', 'power_bi']"
70,,"['sql', 'snowflake', 'excel', 'power_bi']"
71,,"['python', 'sql']"
72,,"['sas', 'python', 'r', 'tableau', 'sql', 'spss']"
73,,[]
74,,[]
75,,"['power_bi', 'ssrs', 'mssql', 'tableau', 'bigquery']"
76,90KÐ110K a year,
77,,
78,,['excel']
79,,
80,,"['sas', 'python', 'r', 'matlab', 'sql']"
81,,
82,,['excel']
83,,"['powerpoint', 'excel']"
84,,"['azure', 'r', 'sql', 'snowflake', 'power_bi']"
85,,"['excel', 'sql']"
86,,"['python', 'nosql', 'matlab', 'sql']"
87,,[]
88,,"['python', 'tableau', 'sql', 'snowflake']"
89,,"['powershell', 'python', 'docker', 'azure', 'sql', 'github']"
90,,"['powerpoint', 'excel']"
91,,['excel']
92,,"['excel', 'sql']"
93,,
94,,
95,,"['azure', 'r', 'sql', 'snowflake', 'power_bi']"
96,,"['excel', 'sql']"
97,,"['python', 'tableau', 'sql', 'snowflake']"
98,,"['powershell', 'python', 'docker', 'azure', 'sql', 'github']"
99,,['sql']
100,,[]
101,,"['go', 'sql', 'excel', 'visio']"
102,,"['github', 'tableau', 'jira', 'sql', 'power_bi']"
103,,"['excel', 'spreadsheet']"
104,,"['power_bi', 'tableau', 'sas', 'sql']"
105,,[]
106,,"['sap', 'power_bi']"
107,,[]
